0	2310.6475	-0.00381649	-0.0796699	-0.019072	3779.62	354.734	-73.4501	0.1	0.0130215
25	2310.6475	0.0288344	0.0251504	-0.037282	1934.61	1505.44	628.607	0.1	0.0130215
50	2310.6475	0.0001292	0.0205762	-0.023304	-3087.44	1965.34	4348.17	0.1	0.0130215
75	2310.6475	-0.164314	-0.319873	-0.534816	-1861.51	-1251.02	641.079	0.1	0.0130215
100	2310.6475	-0.295369	-2.45659	-0.731589	-892.21	485.332	142.157	0.1	0.0130215
125	2310.6475	-0.0240479	0.0205142	0.0392621	1213.0	889.751	7165.98	0.1	0.0130215
150	2310.6475	0.124293	0.0798255	1.00098	568.4	139.118	-346.921	0.1	0.0130215
175	2310.6475	-1.78848	-1.11041	-2.0452	-224.666	553.981	-23.1811	0.1	0.0130215
200	2310.6475	0.140028	-0.0515985	-0.1005	-1403.12	-279.489	-2474.27	0.1	0.0130215
225	2310.6475	0.0001509	-0.0235111	-0.0361094	-2415.94	-1218.55	-2879.96	0.1	0.0130215
250	2310.6475	0.517192	-0.785768	0.252474	783.663	-742.163	-770.788	0.1	0.0130215
275	2310.6475	0.0822827	-0.0356653	-0.0274207	-96.0834	-2161.52	1636.57	0.1	0.0130215
300	2310.6475	0.45328	0.708019	0.447144	580.788	620.059	-1397.71	0.1	0.0130215
325	2310.6475	0.141289	-0.0584724	0.181864	-2046.98	2988.29	2329.83	0.1	0.0130215
350	2310.6475	-0.0027975	0.00013058	-0.0754016	-3306.89	1617.4	-888.808	0.1	0.0130215
375	2310.6475	0.0485246	-0.026369	0.00246952	804.051	3002.69	-3073.58	0.1	0.0130215
400	2310.6475	-5.32362	1.17484	-2.00119	-0.299778	440.926	-612.78	0.1	0.0130215
425	2310.6475	-0.0164044	0.0167896	0.0556806	2144.68	-3165.55	-1302.69	0.1	0.0130215
450	2310.6475	-0.102438	-0.0270243	0.0327313	3056.86	2421.31	277.426	0.1	0.0130215
475	2310.6475	0.181394	0.272251	0.132001	-936.358	-952.926	-1276.37	0.1	0.0130215
500	2310.6475	0.0276529	0.194166	0.0413478	1423.49	415.132	290.361	0.1	0.0130215
525	2310.6475	0.104951	0.0698353	-0.0398183	123.76	1178.71	-2922.75	0.1	0.0130215
550	2310.6475	-0.165235	-0.373162	0.540592	-90.59	-995.83	-1207.51	0.1	0.0130215
575	2310.6475	-0.483916	2.50952	-6.35577	-319.715	251.526	559.219	0.1	0.0130215
600	2310.6475	-0.24276	-0.0196271	0.0947319	520.532	2351.56	-1714.38	0.1	0.0130215
625	2310.6475	0.0742166	0.06839	0.0616021	-1769.71	1849.2	2065.86	0.1	0.0130215
650	2310.6475	0.122528	-0.0377954	-0.104337	990.917	-749.859	220.164	0.1	0.0130215
675	2310.6475	-0.317919	-0.361203	0.108329	699.986	2175.13	1654.55	0.1	0.0130215
700	2310.6475	0.0286317	0.00616832	-0.0605596	-1159.28	-1320.28	-5606.7	0.1	0.0130215
725	2310.6475	-0.347061	0.1837	-0.284731	1713.46	1339.56	940.643	0.1	0.0130215
