0	462221.9259	-0.00381649	-0.0796699	-0.019072	3779.62	354.734	-73.4501	0.1	0.0130215
5001	462221.9259	-0.0586642	-0.0336959	-0.038909	428.189	5112.66	-2315.86	0.1	0.0130215
10002	462221.9259	0.0167115	0.0126165	0.0131278	-1520.52	-1312.88	-745.592	0.1	0.0130215
15003	462221.9259	-0.0333459	0.0831831	0.0710127	1008.06	-2606.62	1536.83	0.1	0.0130215
20004	462221.9259	0.1129	0.0267322	0.0828581	-2914.26	3653.34	-3362.76	0.1	0.0130215
25005	462221.9259	-2.73501	5.90071	2.41371	-348.186	-8.85083	-270.192	0.1	0.0130215
30006	462221.9259	-0.160714	0.0116409	0.231732	859.724	-1232.79	564.445	0.1	0.0130215
35007	462221.9259	-211.754	-37.4885	64.7717	2.4467	-68.5676	-15.5396	0.1	0.0130215
40008	462221.9259	0.410583	-0.418376	-0.411877	621.841	-59.613	-1751.49	0.1	0.0130215
45009	462221.9259	0.0552226	-0.00097896	0.105495	-2277.64	4244.24	2435.65	0.1	0.0130215
